Date,Open,High,Low,Close,Volume,Adj Close
2014-05-08,9547.27,9622.30,9487.57,9607.40,102022500,9607.40
2014-05-07,9418.50,9554.35,9410.08,9521.30,92732600,9521.30
2014-05-06,9570.25,9571.63,9440.47,9467.53,82062900,9467.53
2014-05-05,9536.38,9548.17,9407.09,9529.50,61911600,9529.50
2014-05-02,9611.79,9627.38,9533.30,9556.02,88062300,9556.02
2014-04-30,9576.93,9618.98,9561.06,9603.23,90290900,9603.23
2014-04-29,9521.65,9596.42,9480.57,9584.12,91467900,9584.12
2014-04-28,9454.84,9496.84,9407.65,9446.36,67539100,9446.36
2014-04-25,9474.79,9501.91,9367.42,9401.55,79230200,9401.55
2014-04-24,9597.07,9645.06,9410.33,9548.68,87813900,9548.68
2014-04-23,9602.12,9607.84,9539.62,9544.19,61216900,9544.19
2014-04-22,9455.52,9602.57,9439.66,9600.09,70194100,9600.09
2014-04-17,9311.03,9417.82,9277.36,9409.71,86295200,9409.71
2014-04-16,9252.30,9318.97,9221.48,9317.82,78803200,9317.82
2014-04-15,9324.84,9344.85,9166.53,9173.71,88156800,9173.71
2014-04-14,9248.86,9339.17,9214.18,9339.17,90916500,9339.17
2014-04-11,9351.20,9390.44,9259.43,9315.29,100489700,9315.29
2014-04-10,9556.70,9581.48,9440.99,9454.54,77873700,9454.54
2014-04-09,9506.75,9542.31,9480.96,9506.35,69917100,9506.35
2014-04-08,9525.07,9525.94,9391.86,9490.79,86190900,9490.79
2014-04-07,9585.52,9608.20,9496.67,9510.85,78800000,9510.85
2014-04-04,9641.96,9721.50,9627.74,9695.77,75314000,9695.77
2014-04-03,9620.87,9689.52,9591.89,9628.82,76385800,9628.82
2014-04-02,9628.76,9645.60,9608.46,9623.36,73976000,9623.36
2014-04-01,9601.96,9631.06,9574.63,9603.71,72835100,9603.71
2014-03-31,9621.92,9634.82,9543.09,9555.91,68772900,9555.91
2014-03-28,9487.12,9587.19,9484.90,9587.19,70498400,9587.19
2014-03-27,9428.91,9469.39,9397.98,9451.21,66826100,9451.21
2014-03-26,9367.53,9488.74,9360.30,9448.58,75841600,9448.58
2014-03-25,9223.92,9372.07,9223.90,9338.40,82230600,9338.40
2014-03-24,9349.52,9358.95,9181.37,9188.77,86790900,9188.77
